X,Y,OBJECTID,Nombre
-79.535111139560641,8.962863459102076,1,Cinta Costera
-79.528691055547938,8.972057750693363,2,Cinta Costera
-79.521034149617137,8.974747639935099,3,Cinta Costera
-79.517021160180619,8.975585145314906,4,"Avenida Balboa, frente a Multicentro"
-79.527693612463068,8.974870587662243,5,"Avenida Balboa, junto a él Parque Urracá"
-79.532082658232639,8.9685425125808,9,"Avenida Balboa, junto a el Hospital de Niño"
-79.538670026179773,8.96683599945248,11,"Avenida Perú, frente a el Machetazo"
-79.53262840958817,8.973096198351934,15,"Avenida Justo Arosemena, frente a el Hospital Naiconal"
-79.520209496008775,8.982070755592989,20,"Calle 50, Plaza New York"
-79.523087825553631,8.98035794990081,21,"Calle 50, junto a la Defensoria del Pueblo"
-79.516393042276277,8.984368469027149,22,"Calle 50, junto Torre Global Bank"
-79.506863360115162,8.997251474388049,24,"Via Porras, frente a Banco General"
-79.51074106487809,8.996619935496092,25,"Via Porras, junto a Clínica Carlos Brin"
-79.522322182341767,8.989402733494185,26,Estación Vía Argentina
-79.512161140397524,8.985951230661955,27,"Vía Israel, entrada principal Multiplaza"
-79.509100152910904,8.986918946497232,28,"Vía Israel, junto al Colegio Alberto Einstein"
-79.485525391774587,9.014535579013838,29,"Vía Cincuentenario, junto a Estación Texaco"
-79.501339403225558,8.988192447291867,30,"Vía Israel, junto a el Hotel Sheraton"
-79.506155159986989,8.987309627953167,31,"Vía Israel, frente al IJA"
-79.512562989705032,8.986614638384347,32,Centro la Colmena
-79.514617585782673,8.981787543160042,33,"Vía Israel, frente a la Escuela Richard Newman"
-79.525783544617852,8.984423378377766,34,Plaza Concordia
-79.526741631588621,8.982885760284454,35,"Vía España, Estación del metro Iglesia del Carmen"
-79.534730482917439,8.9774059360746,36,Hosanna
-79.524920955734387,9.000168322147786,37,"Transístmica, junto a  Rodelag"
-79.53516536665677,8.984846013014367,38,"Transístmica, junto a Escuela de Artes y Oficios"
-79.536545498091044,8.980531298175865,41,"Transístmica, junto a la Policlínica CSS Especializada"
-79.532880115158306,8.987822795109951,42,"Transístmica, frente al puente vehicular Univ. de Panamá"
-79.529647537352631,8.993068722172589,43,"Transístmica, junto a Panasonic"
-79.525993486804097,8.998211616882836,44,"Transístmica, junto a Riba Smith"
-79.533276547319772,8.989812102603461,45,"Tumba Muerto, junto a Cervecería Nacional"
-79.533787240516531,8.993986139652723,46,"Tumba Muerto, frente a Plaza Edison"
-79.533980588762688,9.009629405852818,47,"Tumba Muerto, Centro Comercial al Dorado"
-79.530890591294252,9.020750728647606,48,"Tumba Muerto, junto a Kia Motors"
-79.534493407579973,9.009785288234095,49,"Tumba Muerto, Centro Comercial al Dorado"
-79.519724523101672,9.028705783765709,50,"Tumba Muerto, junto a la USMA"
-79.529128611352618,9.020964356388975,51,"Tumba Muerto, junto a el Instituto America"
-79.520935337060095,9.025915543145953,52,"Tumba Muerto, junto a los Libertadores"
-79.518994310655998,9.029087717141588,54,"Tumba Muerto, junto a la Universidad Latina"
-79.516278227163482,9.002451997456477,57,"Vía España, McDonald's/San Fernando"
-79.519407960857393,8.994182810769512,58,"Vía España, Centro Via España 500"
-79.451312004427137,9.044834951272051,62,"Av. José A. Arango, junto al Super Xtra de Los Pueblos"
-79.450404608327872,9.045101995481192,63,"Av. José A. Arango, frente al Macdonals"
